Company,Agency,Seniority,Rating Code,Market,Rating,Rating Date,Watch Code,Watch Eff Date,Outlook,Outlook Eff Date,Rating Endorsement,Affirmation Date
888 Acquisitions Ltd,S&P,Senior Secured,SSE,Foreign,B-,2024-09-11,--,,--,,EUEUKR,
888 Acquisitions Ltd,S&P,Senior Secured,SSE,Foreign,B,2022-12-06,,,,,,
888 Acquisitions Ltd,S&P,Senior Secured,SSE,Domestic,B-,2024-09-11,--,,--,,EUEUKR,2025-09-09
888 Acquisitions Ltd,S&P,Senior Secured,SSE,Domestic,B,2024-04-30,,,,,,
888 Acquisitions Ltd,S&P,Senior Secured,SSE,Domestic,NR,2022-12-20,,,,,,
888 Acquisitions Ltd,S&P,Senior Secured,SSE,Domestic,B,2022-12-06,,,,,,
888 Acquisitions Ltd,Moody's,LGD BACKED Senior Secured,MGR,Foreign,LGD3 - 47% **,2022-12-06,--,,--,,--,
888 Acquisitions Ltd,Moody's,LGD BACKED Senior Secured Bank Credit Facility,MGG,Foreign,LGD3 - 47% **,2022-12-06,--,,--,,--,2026-05-07
888 Acquisitions Ltd,Moody's,LGD BACKED Senior Secured Bank Credit Facility,MGG,Foreign,LGD3 - 44%,2022-06-27,,,,,,
888 Acquisitions Ltd,Moody's,Derived Long-term Issuer Rating,MDL,Foreign,B3,2026-02-06,--,,STA,2026-02-06,EUEUKR,
888 Acquisitions Ltd,Moody's,Backed Senior Secured Bank Credit Facility Rating,MCS,Foreign,B3,2026-02-06,--,,--,,EUEUKR,2026-05-07
888 Acquisitions Ltd,Moody's,Backed Senior Secured Bank Credit Facility Rating,MCS,Foreign,B2,2025-02-18,,,,,,
888 Acquisitions Ltd,Moody's,Backed Senior Secured Bank Credit Facility Rating,MCS,Foreign,B1,2022-06-27,,,,,,
888 Acquisitions Ltd,Moody's,Backed Senior Secured,MBE,Foreign,B3,2026-02-06,--,,--,,EUEUKR,
888 Acquisitions Ltd,Moody's,Backed Senior Secured,MBE,Foreign,B2,2025-02-18,,,,,,
888 Acquisitions Ltd,Moody's,Backed Senior Secured,MBE,Foreign,B1,2022-06-27,,,,,,
A2dominion Housing Group Ltd,Fitch,Senior Unsecured,FSU,Domestic,A,2020-11-02,--,,--,,EUEUKR,2025-10-17
A2dominion Housing Group Ltd,Fitch,Senior Unsecured,FSU,Domestic,A+,2019-07-02,,,,,,
A2dominion Housing Group Ltd,Fitch,Senior Unsecured,FSU,Domestic,WD,2019-01-01,,,,,,
A2dominion Housing Group Ltd,Fitch,Senior Unsecured,FSU,Domestic,A+,2016-11-16,,,,,,
A2dominion Housing Group Ltd,Fitch,Short-term Issuer Rating,FSS,Foreign,WD,2013-12-13,--,,--,,EUR,
A2dominion Housing Group Ltd,Fitch,Short-term Issuer Rating,FSS,Foreign,F1+,2013-09-19,,,,,,
A2dominion Housing Group Ltd,Fitch,Long-term Senior Unsecured MTN Rating,FMU,Domestic,A,2020-11-02,--,,--,,EUEUKR,2025-10-17
A2dominion Housing Group Ltd,Fitch,Long-term Senior Unsecured MTN Rating,FMU,Domestic,A+,2019-07-02,,,,,,
A2dominion Housing Group Ltd,Fitch,Long-term Senior Unsecured MTN Rating,FMU,Domestic,WD,2019-01-01,,,,,,
A2dominion Housing Group Ltd,Fitch,Long-term Senior Unsecured MTN Rating,FMU,Domestic,A+,2016-11-16,,,,,,
A2dominion Housing Group Ltd,Fitch,Long-term Issuer Rating,FIS,Foreign,WD,2013-12-13,--,,Neg,2013-09-19,EUR,
